Species Link,Species,Order,Family,Number of recordings,Songs,Calls,Instr.,Juveniles,Undefined,Date of last modification,Download Link
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Anser%20serrirostris&Page=1,"Anser serrirostris
(Tundra Bean Goose)",Anseriformes,Anatidae,9,-,9,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Anser%20serrirostris
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Anser%20fabalis&Page=1,"Anser fabalis
(Taiga Bean Goose)",Anseriformes,Anatidae,2,-,2,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Anser%20fabalis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Anser%20albifrons&Page=1,"Anser albifrons
(Greater White-fronted Goose)",Anseriformes,Anatidae,10,-,10,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Anser%20albifrons
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Alopochen%20aegyptiaca&Page=1,"Alopochen aegyptiaca
(Egyptian Goose)",Anseriformes,Anatidae,4,-,4,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Alopochen%20aegyptiaca
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Accipiter%20nisus&Page=1,"Accipiter nisus
(Eurasian Sparrowhawk)",Accipitriformes,Accipitridae,5,-,5,-,-,-,22.09.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Accipiter%20nisus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Picus%20viridis&Page=1,"Picus viridis
(European Green Woodpecker)",Piciformes,Picidae,28,21,4,1,2,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Picus%20viridis
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Motacilla%20cinerea&Page=1,"Motacilla cinerea
(Grey Wagtail)",Passeriformes,Motacillidae,10,3,7,-,-,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Motacilla%20cinerea
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Loxia%20pytyopsittacus&Page=1,"Loxia pytyopsittacus
(Parrot Crossbill)",Passeriformes,Fringillidae,4,-,4,-,-,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Loxia%20pytyopsittacus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Lophophanes%20cristatus&Page=1,"Lophophanes cristatus
(European Crested Tit)",Passeriformes,Paridae,64,15,49,-,-,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Lophophanes%20cristatus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Erithacus%20rubecula&Page=1,"Erithacus rubecula
(European Robin)",Passeriformes,Muscicapidae,26,22,4,-,-,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Erithacus%20rubecula
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Corvus%20corone&Page=1,"Corvus corone
(Carrion Crow)",Passeriformes,Corvidae,18,-,18,-,-,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Corvus%20corone
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Corvus%20corax&Page=1,"Corvus corax
(Northern Raven)",Passeriformes,Corvidae,21,-,21,-,-,-,20.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Corvus%20corax
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Tringa%20ochropus&Page=1,"Tringa ochropus
(Green Sandpiper)",Charadriiformes,Scolopacidae,2,-,2,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Tringa%20ochropus
